Type,Layer,Class1,Class2,ActivationPercentage
res,19,empathetic_dialogue,programming,33.4228515625
res,19,math,math,42.7490234375
res,19,math,mmlu,37.640380859375
res,19,math,programming,38.092041015625
res,19,mmlu,mmlu,62.298583984375
res,19,mmlu,programming,49.9267578125
res,19,programming,programming,59.588623046875
res,20,empathetic_dialogue,empathetic_dialogue,38.9892578125
res,20,empathetic_dialogue,math,25.4638671875
res,20,empathetic_dialogue,mmlu,35.25390625
res,20,empathetic_dialogue,programming,32.977294921875
res,20,math,math,42.83447265625
res,20,math,mmlu,37.811279296875
res,20,math,programming,38.140869140625
res,20,mmlu,mmlu,61.810302734375
res,20,mmlu,programming,48.96240234375
res,20,programming,programming,58.2275390625
res,21,empathetic_dialogue,empathetic_dialogue,37.713623046875
res,21,empathetic_dialogue,math,24.090576171875
res,21,empathetic_dialogue,mmlu,33.746337890625
res,21,empathetic_dialogue,programming,31.732177734375
res,21,math,math,41.064453125
res,21,math,mmlu,36.138916015625
res,21,math,programming,35.97412109375
res,21,mmlu,mmlu,60.888671875
res,21,mmlu,programming,47.35107421875
res,21,programming,programming,56.77490234375
res,22,empathetic_dialogue,empathetic_dialogue,37.677001953125
res,22,empathetic_dialogue,math,24.20654296875
res,22,empathetic_dialogue,mmlu,33.4228515625
res,22,empathetic_dialogue,programming,31.390380859375
res,22,math,math,41.949462890625
res,22,math,mmlu,36.669921875
res,22,math,programming,36.8408203125
res,22,mmlu,mmlu,61.63330078125
res,22,mmlu,programming,47.4853515625
res,22,programming,programming,57.45849609375
res,23,empathetic_dialogue,empathetic_dialogue,36.63330078125
res,23,empathetic_dialogue,math,23.44970703125
res,23,empathetic_dialogue,mmlu,32.2265625
res,23,empathetic_dialogue,programming,30.096435546875
res,23,math,math,40.61279296875
res,23,math,mmlu,35.650634765625
res,23,math,programming,35.382080078125
res,23,mmlu,mmlu,60.8154296875
res,23,mmlu,programming,45.6787109375
res,23,programming,programming,55.303955078125
res,24,empathetic_dialogue,empathetic_dialogue,32.098388671875
res,24,empathetic_dialogue,math,18.524169921875
res,24,empathetic_dialogue,mmlu,27.1484375
res,24,empathetic_dialogue,programming,24.993896484375
res,24,math,math,32.8125
res,24,math,mmlu,28.192138671875
res,24,math,programming,27.972412109375
res,24,mmlu,mmlu,53.131103515625
res,24,mmlu,programming,37.59765625
